"fecha","ciudad","producto","ventas","unidades_vendidas","edad_cliente","promocion","satisfaccion_cliente","tasa_devolucion"
2019-02-14,"Cuenca","Verduras",284.98,19,60,FALSE,4,0.03
2019-02-15,"Guayaquil","Pan",178.43,34,25,TRUE,2,0.05
2019-02-16,"Manta","Leche",304.85,25,32,FALSE,3,0.09
2019-02-17,"Manta","Pan",100.97,26,32,FALSE,1,0.07
2019-02-18,"Manta","Leche",268.74,39,45,FALSE,5,0.04
2019-02-19,"Portoviejo","Pan",188.62,25,41,FALSE,2,0.06
2019-02-20,"Portoviejo","Frutas",374.77,34,37,FALSE,4,0.05
2019-02-21,"Guayaquil","Frutas",143.83,26,29,FALSE,4,0.08
2019-02-22,"Guayaquil","Carne",496.75,41,44,FALSE,1,0.08
2019-02-23,"Quito","Frutas",361.5,39,58,TRUE,1,0.04
2019-02-24,"Guayaquil","Atún",72.44,29,43,FALSE,5,0.08
2019-02-25,"Cuenca","Leche",74.08,41,25,FALSE,2,0.03
2019-02-26,"Portoviejo","Leche",332.71,13,47,FALSE,2,0.04
2019-02-27,"Manta","Arroz",344.78,34,21,TRUE,2,0.08
2019-02-28,"Manta","Leche",92.96,48,60,FALSE,2,0.07
2019-03-01,"Guayaquil","Pan",93.9,19,58,FALSE,4,0
2019-03-02,"Portoviejo","Carne",242.67,16,45,FALSE,4,0.04
2019-03-03,"Quito","Leche",398.61,44,22,FALSE,2,0.08
2019-03-04,"Guayaquil","Pan",63.15,21,30,FALSE,2,0.06
2019-03-05,"Guayaquil","Frutas",152.95,35,53,FALSE,3,0.02
2019-03-06,"Guayaquil","Arroz",445.45,43,31,FALSE,5,0.07
2019-03-07,"Cuenca","Frutas",123.88,43,38,TRUE,4,0.08
2019-03-08,"Quito","Pan",471.94,50,60,FALSE,2,0.09
2019-03-09,"Manta","Arroz",185.36,41,39,TRUE,1,0.07
2019-03-10,"Cuenca","Pollo",66.37,17,55,FALSE,5,0.03
2019-03-11,"Cuenca","Atún",116.77,45,22,FALSE,3,0.01
2019-03-12,"Quito","Leche",282.16,34,38,FALSE,1,0.09
2019-03-13,"Quito","Pollo",422.13,42,52,FALSE,4,0.03
2019-03-14,"Manta","Carne",209.86,40,25,FALSE,3,0.04
2019-03-15,"Guayaquil","Leche",102.15,13,59,FALSE,1,0.06
2019-03-16,"Manta","Leche",282.21,42,32,FALSE,3,0.09
2019-03-17,"Guayaquil","Arroz",192.09,34,36,FALSE,1,0
2019-03-18,"Portoviejo","Frutas",236.26,45,51,TRUE,5,0.01
2019-03-19,"Guayaquil","Pan",372.23,1,20,TRUE,1,0.01
2019-03-20,"Manta","Frutas",448.96,43,33,FALSE,3,0.02
2019-03-21,"Cuenca","Leche",389.63,1,27,FALSE,5,0.01
2019-03-22,"Cuenca","Atún",431.32,16,34,FALSE,5,0.06
2019-03-23,"Quito","Arroz",191.71,26,50,FALSE,1,0.08
2019-03-24,"Portoviejo","Pollo",453.49,23,48,FALSE,5,0.08
2019-03-25,"Quito","Pan",349.24,3,38,FALSE,3,0.07
2019-03-26,"Cuenca","Arroz",287.58,12,32,FALSE,4,0.04
2019-03-27,"Guayaquil","Pollo",389.44,5,54,FALSE,1,0.07
2019-03-28,"Portoviejo","Verduras",387.81,4,49,TRUE,5,0.09
2019-03-29,"Guayaquil","Pan",465.35,15,32,FALSE,2,0.01
2019-03-30,"Cuenca","Pollo",119.74,39,56,FALSE,4,0.05
2019-03-31,"Quito","Carne",82.21,17,54,FALSE,5,0.05
2019-04-01,"Guayaquil","Atún",122.51,27,53,TRUE,3,0.02
2019-04-02,"Manta","Carne",492.19,19,21,TRUE,2,0.04
2019-04-03,"Quito","Atún",359.82,8,18,FALSE,5,0.03
2019-04-04,"Portoviejo","Frutas",217.26,30,42,FALSE,4,0.01
2019-04-05,"Portoviejo","Atún",361.85,37,43,FALSE,3,0.02
2019-04-06,"Manta","Arroz",362.59,42,29,TRUE,5,0.05
2019-04-07,"Guayaquil","Verduras",363.68,7,44,FALSE,3,0.05
2019-04-08,"Cuenca","Carne",380.85,42,60,TRUE,1,0.1
2019-04-09,"Cuenca","Frutas",79.68,15,44,FALSE,3,0.03
2019-04-10,"Manta","Frutas",441.14,32,31,FALSE,2,0.07
2019-04-11,"Manta","Pollo",150.81,7,49,FALSE,1,0.06
2019-04-12,"Portoviejo","Verduras",351.97,38,22,FALSE,4,0.03
2019-04-13,"Quito","Pollo",259.53,44,24,FALSE,4,0.03
2019-04-14,"Cuenca","Pan",250.56,17,34,TRUE,4,0.09
2019-04-15,"Manta","Pan",405.09,38,50,FALSE,3,0.09
2019-04-16,"Guayaquil","Verduras",421.1,20,54,FALSE,1,0.04
2019-04-17,"Cuenca","Atún",325.31,25,56,FALSE,1,0.01
2019-04-18,"Manta","Arroz",60.74,20,54,TRUE,2,0.06
2019-04-19,"Manta","Verduras",184.74,38,47,FALSE,4,0.04
2019-04-20,"Guayaquil","Frutas",204.42,36,30,FALSE,3,0.09
2019-04-21,"Portoviejo","Pollo",312.81,39,25,TRUE,3,0.01
2019-04-22,"Quito","Carne",401.27,45,52,FALSE,5,0.01
2019-04-23,"Portoviejo","Verduras",70.62,22,18,FALSE,1,0.06
2019-04-24,"Portoviejo","Pollo",82.56,44,45,FALSE,1,0.05
2019-04-25,"Portoviejo","Atún",472.9,12,34,FALSE,2,0.04
2019-04-26,"Quito","Verduras",112.08,25,19,FALSE,4,0.04
2019-04-27,"Portoviejo","Arroz",60.89,40,54,FALSE,5,0.1
2019-04-28,"Portoviejo","Pollo",92.76,17,49,FALSE,2,0.01
2019-04-29,"Cuenca","Arroz",465.65,11,57,TRUE,5,0.04
2019-04-30,"Cuenca","Frutas",215.13,47,22,FALSE,5,0.06
2019-05-01,"Manta","Verduras",325.92,41,55,FALSE,5,0.02
2019-05-02,"Manta","Carne",436.97,7,57,FALSE,3,0.08
2019-05-03,"Manta","Carne",226.2,49,21,TRUE,4,0.01
2019-05-04,"Portoviejo","Leche",341.76,18,58,FALSE,3,0.01
2019-05-05,"Manta","Verduras",294.29,20,38,TRUE,2,0.08
2019-05-06,"Cuenca","Pan",428.52,8,60,FALSE,3,0.02
2019-05-07,"Cuenca","Carne",64.3,21,20,FALSE,3,0.08
2019-05-08,"Guayaquil","Verduras",396.44,44,29,FALSE,2,0.01
2019-05-09,"Cuenca","Frutas",204.26,20,35,FALSE,3,0.06
2019-05-10,"Guayaquil","Carne",270.73,28,55,TRUE,1,0.02
2019-05-11,"Guayaquil","Pan",86.58,25,38,FALSE,4,0.03
2019-05-12,"Guayaquil","Pollo",156.16,37,44,FALSE,5,0.09
2019-05-13,"Cuenca","Pollo",75.59,45,34,FALSE,3,0.01
2019-05-14,"Manta","Leche",224.88,4,33,TRUE,1,0.03
2019-05-15,"Guayaquil","Carne",209.07,41,57,TRUE,3,0.01
2019-05-16,"Cuenca","Pollo",345.53,20,30,FALSE,5,0.08
2019-05-17,"Quito","Pollo",91.55,27,26,TRUE,2,0.05
2019-05-18,"Quito","Arroz",410.85,34,33,FALSE,2,0.08
2019-05-19,"Manta","Carne",157.72,47,26,FALSE,4,0.06
2019-05-20,"Cuenca","Carne",187.05,2,38,FALSE,1,0.08
2019-05-21,"Portoviejo","Leche",241.28,9,50,FALSE,2,0.01
2019-05-22,"Manta","Carne",427.99,29,51,FALSE,4,0.04
2019-05-23,"Portoviejo","Pan",153.42,25,19,FALSE,5,0
2019-05-24,"Guayaquil","Arroz",421.2,5,24,FALSE,3,0.05
2019-05-25,"Quito","Leche",286.25,10,24,FALSE,5,0.06
2019-05-26,"Manta","Atún",125.81,24,57,FALSE,2,0
2019-05-27,"Guayaquil","Carne",155.92,18,19,FALSE,3,0.03
2019-05-28,"Manta","Carne",310.56,36,24,FALSE,5,0.05
2019-05-29,"Manta","Carne",374.34,20,46,FALSE,5,0.09
2019-05-30,"Portoviejo","Verduras",60.07,49,22,FALSE,4,0.08
2019-05-31,"Guayaquil","Pan",431.45,12,NA,TRUE,1,0.08
2019-06-01,"Quito","Pollo",490.15,38,26,TRUE,4,0.03
2019-06-02,"Quito","Arroz",259.44,47,43,FALSE,4,0.09
2019-06-03,"Quito","Verduras",250.3,32,NA,TRUE,2,0.05
2019-06-04,"Portoviejo","Pollo",139.86,10,46,TRUE,5,0.03
2019-06-05,"Manta","Arroz",336.58,7,59,TRUE,1,0.03
2019-06-06,"Quito","Atún",333.06,11,53,FALSE,4,0.01
2019-06-07,"Portoviejo","Verduras",307.18,20,51,FALSE,2,0.08
2019-06-08,"Cuenca","Leche",382.45,11,20,FALSE,4,0.04
2019-06-09,"Manta","Carne",65.65,40,60,FALSE,2,0.09
2019-06-10,"Quito","Arroz",496.22,10,26,TRUE,1,0.1
2019-06-11,"Portoviejo","Frutas",86.05,16,28,FALSE,5,0.01
2019-06-12,"Quito","Pollo",454.66,23,52,FALSE,4,0.03
2019-06-13,"Guayaquil","Verduras",305.1,6,58,FALSE,3,0.1
2019-06-14,"Quito","Pan",174.6,29,59,FALSE,3,0.02
2019-06-15,"Portoviejo","Leche",228.98,14,45,TRUE,4,0.1
2019-06-16,"Quito","Pollo",172.23,26,49,FALSE,3,0.05
2019-06-17,"Quito","Pan",258.29,49,33,FALSE,5,0.03
2019-06-18,"Guayaquil","Atún",481.13,43,22,FALSE,4,0.07
2019-06-19,"Quito","Arroz",456.96,36,51,TRUE,2,0.07
2019-06-20,"Guayaquil","Verduras",112.77,41,47,FALSE,1,0.02
2019-06-21,"Portoviejo","Pan",139.7,13,39,TRUE,2,0.09
2019-06-22,"Cuenca","Frutas",219.12,5,20,TRUE,4,0.05
2019-06-23,"Cuenca","Carne",395,40,52,FALSE,3,0.06
2019-06-24,"Cuenca","Pollo",95.35,43,32,FALSE,5,0.04
2019-06-25,"Quito","Carne",125.64,49,41,FALSE,3,0.05
2019-06-26,"Manta","Pan",234.9,23,45,FALSE,2,0.06
2019-06-27,"Quito","Leche",194.14,33,56,FALSE,1,0.05
2019-06-28,"Portoviejo","Carne",221.77,8,34,TRUE,3,0.09
2019-06-29,"Manta","Leche",348.01,44,34,FALSE,3,0.1
2019-06-30,"Portoviejo","Carne",395.65,6,60,FALSE,3,0.03
2019-07-01,"Manta","Pollo",292.22,8,56,FALSE,2,0.03
2019-07-02,"Cuenca","Pan",214.76,9,26,FALSE,2,0
2019-07-03,"Portoviejo","Verduras",346.19,15,26,FALSE,5,0.05
2019-07-04,"Quito","Carne",332.85,41,31,FALSE,1,0.07
2019-07-05,"Manta","Verduras",279.94,12,58,FALSE,2,0.05
2019-07-06,"Portoviejo","Carne",113.98,2,50,FALSE,1,0.1
2019-07-07,"Guayaquil","Leche",453.99,26,21,FALSE,2,0.05
2019-07-08,"Manta","Verduras",299.69,48,23,FALSE,5,0.08
2019-07-09,"Guayaquil","Arroz",238.71,46,39,FALSE,1,0.08
2019-07-10,"Cuenca","Verduras",164.31,8,42,FALSE,3,0.02
2019-07-11,"Guayaquil","Verduras",367.43,29,52,TRUE,5,0.01
2019-07-12,"Cuenca","Atún",377.06,49,49,FALSE,4,0.04
2019-07-13,"Portoviejo","Pollo",101.14,18,29,FALSE,3,0.06
2019-07-14,"Cuenca","Carne",143.3,42,56,FALSE,5,0.02
2019-07-15,"Guayaquil","Arroz",326.33,41,46,FALSE,5,0.06
2019-07-16,"Cuenca","Atún",247.59,18,36,TRUE,1,0.07
2019-07-17,"Quito","Frutas",239.79,4,53,TRUE,1,0.04
2019-07-18,"Portoviejo","Pollo",365.85,31,51,FALSE,1,0.07
2019-07-19,"Cuenca","Carne",115.52,30,59,FALSE,2,0.09
2019-07-20,"Manta","Verduras",439.17,23,30,FALSE,5,0.1
2019-07-21,"Cuenca","Pan",447.25,35,22,TRUE,5,0.03
2019-07-22,"Quito","Atún",290.27,8,37,TRUE,1,0.09
2019-07-23,"Guayaquil","Atún",254.96,15,38,FALSE,4,0.08
2019-07-24,"Guayaquil","Atún",319.99,46,54,TRUE,3,0.07
2019-07-25,"Manta","Frutas",301.93,35,59,TRUE,2,0.06
2019-07-26,"Portoviejo","Verduras",207.97,7,57,TRUE,3,0.05
2019-07-27,"Cuenca","Verduras",60.39,9,39,FALSE,5,0.09
2019-07-28,"Cuenca","Pollo",484.2,35,22,FALSE,2,0.06
2019-07-29,"Cuenca","Verduras",432.84,32,20,FALSE,5,0.05
2019-07-30,"Guayaquil","Atún",229.28,23,48,FALSE,1,0.06
2019-07-31,"Cuenca","Leche",72,28,49,FALSE,4,0.01
2019-08-01,"Manta","Frutas",331.71,33,27,TRUE,4,0.06
2019-08-02,"Manta","Arroz",305.46,10,53,FALSE,2,0.09
2019-08-03,"Manta","Pollo",445.35,28,19,FALSE,4,0.07
2019-08-04,"Quito","Frutas",349.76,5,27,FALSE,1,0.05
2019-08-05,"Guayaquil","Atún",178.57,3,36,FALSE,3,0.08
2019-08-06,"Cuenca","Pan",306.87,19,22,FALSE,1,0.04
2019-08-07,"Guayaquil","Verduras",182.58,2,60,FALSE,2,0.03
2019-08-08,"Quito","Verduras",100.41,5,58,TRUE,1,0.06
2019-08-09,"Cuenca","Leche",165.6,5,29,FALSE,1,0.04
2019-08-10,"Manta","Frutas",239.88,5,50,FALSE,5,0.02
2019-08-11,"Portoviejo","Frutas",67.08,30,41,FALSE,3,0.02
2019-08-12,"Portoviejo","Atún",405.05,42,60,FALSE,1,0.05
2019-08-13,"Quito","Verduras",158.14,28,28,FALSE,1,0.04
2019-08-14,"Manta","Pollo",438.93,7,20,TRUE,4,0.06
2019-08-15,"Cuenca","Pan",448.24,39,24,FALSE,2,0.06
2019-08-16,"Manta","Atún",257.15,42,27,TRUE,4,0
2019-08-17,"Portoviejo","Leche",210.36,1,42,TRUE,1,0.05
2019-08-18,"Portoviejo","Frutas",70.87,39,56,FALSE,3,0.04
2019-08-19,"Cuenca","Frutas",347.92,43,41,FALSE,1,0.04
2019-08-20,"Portoviejo","Pan",438.46,39,59,FALSE,5,0.08
2019-08-21,"Cuenca","Pollo",274.2,33,37,FALSE,1,0.02
2019-08-22,"Portoviejo","Atún",229.57,10,39,FALSE,1,0.06
2019-08-23,"Guayaquil","Verduras",465.56,40,33,TRUE,3,0.03
2019-08-24,"Cuenca","Atún",443.13,36,42,FALSE,5,0.01
2019-08-25,"Portoviejo","Verduras",221.83,23,51,FALSE,3,0.04
2019-08-26,"Quito","Arroz",309.99,40,36,FALSE,2,0.07
2019-08-27,"Quito","Arroz",275.02,20,54,FALSE,3,0.07
2019-08-28,"Cuenca","Arroz",64.21,50,25,FALSE,1,0.05
2019-08-29,"Portoviejo","Frutas",52.09,44,51,FALSE,5,0.03
2019-08-30,"Quito","Atún",367.68,17,50,FALSE,2,0.06
2019-08-31,"Cuenca","Verduras",121.79,9,59,FALSE,1,0.08
2019-09-01,"Portoviejo","Pollo",274.89,4,47,FALSE,4,0.02
2019-09-02,"Quito","Leche",352.65,45,34,FALSE,1,0.02
2019-09-03,"Cuenca","Verduras",105.65,21,37,FALSE,4,0.01
2019-09-04,"Guayaquil","Leche",293.44,21,38,FALSE,3,0.03
2019-09-05,"Quito","Pan",290.57,41,19,FALSE,3,0.05
2019-09-06,"Portoviejo","Frutas",232.93,31,20,FALSE,2,0.04
2019-09-07,"Quito","Atún",141.94,41,42,FALSE,1,0.08
2019-09-08,"Manta","Frutas",268.48,18,59,FALSE,4,0.06
2019-09-09,"Manta","Atún",74.85,29,53,FALSE,1,0.08
2019-09-10,"Guayaquil","Leche",165.46,23,18,FALSE,5,0.06
2019-09-11,"Manta","Leche",105.21,5,20,FALSE,4,0.09
2019-09-12,"Manta","Arroz",351.14,45,28,FALSE,3,0.08
2019-09-13,"Manta","Pollo",257.54,15,34,TRUE,4,0.05
2019-09-14,"Cuenca","Atún",260.36,5,18,TRUE,2,0.08
2019-09-15,"Guayaquil","Verduras",491.77,50,34,FALSE,1,0.06
2019-09-16,"Manta","Pan",347.97,28,56,FALSE,4,0.09
2019-09-17,"Portoviejo","Frutas",357.92,18,33,TRUE,4,0.04
2019-09-18,"Quito","Carne",233.56,50,37,TRUE,3,0.03
2019-09-19,"Cuenca","Atún",354.12,46,19,FALSE,4,0.04
2019-09-20,"Portoviejo","Carne",421.02,42,39,FALSE,4,0.02
2019-09-21,"Manta","Pan",154.89,38,20,FALSE,4,0.05
2019-09-22,"Quito","Frutas",52.03,45,60,FALSE,5,0.02
2019-09-23,"Quito","Frutas",203.52,43,27,TRUE,1,0.06
2019-09-24,"Portoviejo","Arroz",60.25,10,20,FALSE,5,0.02
2019-09-25,"Manta","Frutas",94.16,8,53,FALSE,1,0.09
2019-09-26,"Guayaquil","Carne",462.4,7,34,FALSE,1,0.06
2019-09-27,"Portoviejo","Pan",219.33,46,52,TRUE,1,0.04
2019-09-28,"Cuenca","Leche",434.12,16,45,TRUE,1,0.09
2019-09-29,"Quito","Arroz",196.61,26,21,FALSE,2,0.09
2019-09-30,"Quito","Carne",139.66,18,24,FALSE,2,0.07
2019-10-01,"Manta","Pan",298.45,36,59,FALSE,3,0.03
2019-10-02,"Manta","Verduras",421.12,18,51,FALSE,5,0.08
2019-10-03,"Guayaquil","Leche",219.01,27,19,FALSE,1,0.01
2019-10-04,"Guayaquil","Pan",332.84,45,NA,FALSE,4,0.01
2019-10-05,"Quito","Frutas",324.51,9,25,FALSE,4,0.02
2019-10-06,"Guayaquil","Pan",482.64,27,37,TRUE,2,0.03
2019-10-07,"Guayaquil","Arroz",366.84,44,56,FALSE,5,0.03
2019-10-08,"Cuenca","Frutas",107.05,23,19,FALSE,1,0.01
2019-10-09,"Quito","Atún",200.36,34,53,FALSE,2,0.06
2019-10-10,"Guayaquil","Carne",58.19,37,48,TRUE,5,0.01
2019-10-11,"Cuenca","Atún",468.48,45,24,FALSE,1,0.05
2019-10-12,"Manta","Atún",266.96,16,34,FALSE,4,0.03
2019-10-13,"Quito","Leche",442.97,6,29,FALSE,4,0.08
2019-10-14,"Portoviejo","Atún",379.72,6,35,FALSE,5,0.03
2019-10-15,"Cuenca","Leche",98.44,6,39,FALSE,5,0.05
2019-10-16,"Cuenca","Arroz",74.36,41,58,FALSE,4,0.03
2019-10-17,"Cuenca","Leche",318.98,9,56,FALSE,5,0.02
2019-10-18,"Manta","Arroz",413.32,40,57,TRUE,4,0.03
2019-10-19,"Portoviejo","Pollo",415.64,32,27,FALSE,5,0.02
2019-10-20,"Quito","Pan",256.68,38,59,FALSE,2,0.07
2019-10-21,"Manta","Pan",173.03,46,46,FALSE,1,0.09
2019-10-22,"Portoviejo","Atún",362.18,43,41,FALSE,5,0.1
2019-10-23,"Quito","Leche",138.82,41,47,FALSE,1,0.05
2019-10-24,"Portoviejo","Pan",492.39,23,20,FALSE,1,0.08
2019-10-25,"Portoviejo","Verduras",468,11,51,TRUE,3,0.01
2019-10-26,"Portoviejo","Atún",475.44,5,56,FALSE,5,0.01
2019-10-27,"Cuenca","Leche",150.55,37,55,FALSE,2,0.05
2019-10-28,"Cuenca","Arroz",109.41,12,42,FALSE,3,0.07
2019-10-29,"Portoviejo","Pan",479.91,4,29,FALSE,5,0
2019-10-30,"Quito","Leche",120.26,26,34,TRUE,1,0.05
2019-10-31,"Cuenca","Atún",151.26,39,48,TRUE,5,0
2019-11-01,"Cuenca","Pan",129.68,21,47,FALSE,2,0.05
2019-11-02,"Cuenca","Verduras",208.87,10,46,FALSE,2,0.04
2019-11-03,"Quito","Pan",124.72,28,29,FALSE,2,0.06
2019-11-04,"Guayaquil","Arroz",247.67,21,NA,TRUE,3,0.09
2019-11-05,"Manta","Frutas",254.51,27,24,FALSE,2,0.09
2019-11-06,"Quito","Frutas",58.45,40,41,FALSE,4,0.01
2019-11-07,"Guayaquil","Atún",294.99,19,23,FALSE,2,0
2019-11-08,"Cuenca","Verduras",251.56,15,47,FALSE,5,0.07
2019-11-09,"Quito","Verduras",298.28,10,42,FALSE,1,0.06
2019-11-10,"Manta","Leche",209.43,37,35,FALSE,1,0.1
2019-11-11,"Manta","Leche",136.55,26,32,FALSE,3,0.09
2019-11-12,"Cuenca","Carne",249.25,25,44,FALSE,3,0.09
2019-11-13,"Guayaquil","Atún",94.67,46,38,FALSE,4,0.09
2019-11-14,"Manta","Atún",124.31,9,42,FALSE,5,0.02
2019-11-15,"Quito","Frutas",470.77,42,21,FALSE,3,0.03
2019-11-16,"Quito","Frutas",205.38,4,55,FALSE,1,0.04
2019-11-17,"Quito","Pan",386.71,5,40,TRUE,4,0.1
2019-11-18,"Manta","Carne",208.03,15,37,TRUE,5,0.08
2019-11-19,"Manta","Atún",175.74,21,60,FALSE,1,0.05
2019-11-20,"Portoviejo","Arroz",274.4,10,58,FALSE,3,0.1
2019-11-21,"Quito","Arroz",185.71,36,45,TRUE,5,0.02
2019-11-22,"Cuenca","Verduras",295.47,7,49,FALSE,1,0.05
2019-11-23,"Manta","Arroz",66.35,7,52,FALSE,2,0.07
2019-11-24,"Manta","Pan",265.44,14,25,TRUE,3,0.01
2019-11-25,"Guayaquil","Arroz",325.97,41,37,FALSE,4,0.02
2019-11-26,"Cuenca","Pollo",50.89,21,33,FALSE,4,0.02
2019-11-27,"Guayaquil","Pollo",175.31,16,38,TRUE,5,0.03
2019-11-28,"Portoviejo","Arroz",171.74,14,31,TRUE,5,0.05
2019-11-29,"Quito","Verduras",371.73,16,28,TRUE,3,0.07
2019-11-30,"Manta","Verduras",482.43,42,37,FALSE,4,0.08
2019-12-01,"Portoviejo","Atún",365.46,11,35,FALSE,3,0.06
2019-12-02,"Guayaquil","Pollo",464.66,37,36,FALSE,2,0.03
2019-12-03,"Quito","Arroz",264.33,1,58,FALSE,1,0.04
2019-12-04,"Manta","Leche",68.91,29,31,FALSE,3,0.02
2019-12-05,"Manta","Verduras",74.15,9,47,FALSE,1,0.05
2019-12-06,"Portoviejo","Frutas",392.26,27,34,FALSE,1,0.05
2019-12-07,"Manta","Leche",396.24,15,51,FALSE,5,0.04
2019-12-08,"Cuenca","Verduras",485.04,25,55,TRUE,1,0.04
2019-12-09,"Portoviejo","Verduras",266.25,37,34,FALSE,5,0.03
2019-12-10,"Portoviejo","Frutas",157.47,25,53,FALSE,1,0.04
2019-12-11,"Cuenca","Atún",62.3,49,24,FALSE,5,0.06
2019-12-12,"Portoviejo","Frutas",219.38,21,40,TRUE,5,0.02
2019-12-13,"Guayaquil","Atún",166.85,49,29,FALSE,4,0
2019-12-14,"Quito","Pollo",324.2,23,48,FALSE,3,0.05
2019-12-15,"Portoviejo","Leche",314.9,3,38,FALSE,1,0.08
2019-12-16,"Guayaquil","Pan",447.43,16,38,FALSE,5,0.08
2019-12-17,"Manta","Verduras",459.86,20,47,FALSE,4,0
2019-12-18,"Manta","Frutas",263.27,36,57,FALSE,1,0.01
2019-12-19,"Guayaquil","Frutas",431.49,31,46,FALSE,5,0.06
2019-12-20,"Cuenca","Leche",337.16,8,23,TRUE,4,0.06
2019-12-21,"Portoviejo","Pan",445.87,27,56,TRUE,3,0.03
2019-12-22,"Portoviejo","Atún",188.05,44,59,FALSE,2,0.07
2019-12-23,"Portoviejo","Pan",141.02,38,58,TRUE,5,0.06
2019-12-24,"Quito","Pan",423.91,3,30,TRUE,5,0.07
2019-12-25,"Quito","Pollo",385.85,35,47,FALSE,4,0.07
2019-12-26,"Guayaquil","Leche",214.38,7,48,FALSE,1,0.08
2019-12-27,"Guayaquil","Frutas",104.39,46,57,FALSE,3,0.02
2019-12-28,"Portoviejo","Pan",203.34,44,51,FALSE,2,0.05
2019-12-29,"Portoviejo","Carne",139.36,16,44,FALSE,3,0.08
2019-12-30,"Quito","Arroz",418.6,36,38,FALSE,2,0.03
2019-12-31,"Manta","Pollo",388.54,39,53,FALSE,5,0.09
2020-01-01,"Manta","Carne",248.64,12,25,FALSE,3,0.09
2020-01-02,"Portoviejo","Frutas",496.79,28,59,FALSE,5,0.1
2020-01-03,"Cuenca","Pan",441.77,23,40,FALSE,5,0.08
2020-01-04,"Manta","Leche",153.56,24,41,TRUE,1,0.05
2020-01-05,"Quito","Frutas",184.33,16,53,FALSE,1,0.09
2020-01-06,"Manta","Pollo",311.89,18,56,FALSE,3,0.08
2020-01-07,"Quito","Verduras",308.15,2,19,TRUE,4,0.03
2020-01-08,"Quito","Pollo",66.01,28,29,FALSE,5,0.02
2020-01-09,"Cuenca","Verduras",497.15,36,49,FALSE,2,0.02
2020-01-10,"Guayaquil","Pollo",61.14,49,55,FALSE,3,0.07
